Id,Address,DistressNotes,ImageUrl
1,New York, NY, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7127753,-74.0059728&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
2,46 West 17th Street, Between 5th and 6th Avenue, 46 W 17th St, New York, NY 10011, USA,Trash accumulation detected, needs cleaning; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7387701,-73.9944911&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
3,38 W 14th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7366397,-73.9955533&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
4,66 5th Ave, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7351297,-73.9944837&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
5,25 W 14th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.736742,-73.9947538&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
6,500 6th Ave, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7363806,-73.9972889&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
7,50 W 17th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7387496,-73.9947456&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
8,52 W 13th St, New York, NY 10011, USA,Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.73618,-73.9966&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
9,46 W 16th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.73820849999999,-73.9951897&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
10,30 W 16th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.737925,-73.9945602&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
11,42 W 14th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Fallen branches detected, needs removal; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.7367292,-73.9956192&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
12,10 W 13th St, New York, NY 10011, USA,Broken windows detected, needs repair; Trash accumulation detected, needs cleaning; Damaged roof detected, needs repair,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=40.73551909999999,-73.9950968&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
